dimension,segment,pre_order_count,post_order_count,absolute_change,relative_change
hour_group,night,21112,25216,4104,0.19439181508147024
hour_group,morning_peak,21070,31231,10161,0.482249644043664
hour_group,noon,32374,47010,14636,0.45209118428368444
hour_group,evening_peak,25676,41672,15996,0.6229942358622839
hour_group,late_evening,26575,27982,1407,0.052944496707431794
day_type,weekday,79794,126492,46698,0.5852319723287466
day_type,weekend,47013,46619,-394,-0.008380660668325782
distance_group,short,44007,62903,18896,0.42938623400822595
distance_group,medium,58699,78670,19971,0.34022726111177365
distance_group,long,24101,31538,7437,0.30857640761794114
pickup_zone_group,control_zones,4555,5991,1436,0.31525795828759606
pickup_zone_group,other,97718,132953,35235,0.36057839906670214
pickup_zone_group,spillover_zones,7070,9715,2645,0.3741159830268741
pickup_zone_group,treated_zones,17464,24452,6988,0.4001374255611544
airport_flag,airport,10287,14365,4078,0.39642266938854864
airport_flag,non_airport,116520,158746,42226,0.36239272227943703
