pickup_zone_name,dropoff_zone_name,is_cross_treated_trip,is_airport_trip,driver_pay_per_minute_pre,driver_pay_per_minute_post,fare_per_mile_pre,fare_per_mile_post,tolls_per_trip_pre,tolls_per_trip_post,trip_count_pre,trip_count_post,fare_per_mile_change,driver_pay_per_minute_change,demand_change,subsidy_signal
Williamsburg (North Side),Brooklyn Navy Yard,False,False,0.0,1.2894083478131877,0.0,13.632994407682949,0.0,0.0,0.0,29.0,13.632994407682949,1.2894083478131877,29.0,False
East Village,Sunset Park West,False,False,1.0295275127195085,1.1722014409264878,4.015148874912553,5.27983260357205,3.47,2.6703448275862067,4.0,29.0,1.264683728659497,0.14267392820697933,25.0,False
Fort Greene,Penn Station/Madison Sq West,True,False,1.0435930343486306,0.9843961607214405,6.121701617708949,6.453703205191479,0.0,0.0,2.0,26.0,0.33200158748253017,-0.05919687362719006,24.0,True
West Village,Outside of NYC,False,False,1.300221048066096,1.3105105251570246,5.9798938032802775,7.118423460578046,17.174999999999997,14.764736842105261,72.0,95.0,1.1385296572977683,0.010289477090928534,23.0,False
Lower East Side,Williamsburg (North Side),True,False,1.24816630485669,1.372513304657615,7.750650548151467,8.879996115206923,0.0,0.0,33.0,55.0,1.1293455670554566,0.124346999800925,22.0,False
Carroll Gardens,Sunset Park West,False,False,1.163342847829243,1.1984094290778782,10.988821932202391,6.200449410470387,0.0,0.0,2.0,24.0,-4.788372521732004,0.035066581248635265,22.0,False
Long Island City/Queens Plaza,Astoria,False,False,1.444810547696458,0.9895570854867196,10.373630518050197,9.8533299258778,0.0,0.0,11.0,31.0,-0.5203005921723971,-0.4552534622097383,20.0,False
Williamsburg (South Side),Sunset Park West,False,False,0.8631964344786299,1.1161795395198135,3.64341096122207,4.132833892240458,0.0,0.0,3.0,22.0,0.48942293101838796,0.2529831050411836,19.0,False
Williamsburg (South Side),Brooklyn Navy Yard,False,False,0.6948019323671497,1.1769877920451628,5.155708584670513,14.743954485046478,0.0,0.0,2.0,20.0,9.588245900375966,0.4821858596780131,18.0,False
East Williamsburg,Brooklyn Navy Yard,False,False,1.078042659974906,1.023086413331028,12.04003079291763,9.149575517772162,0.0,0.0,1.0,19.0,-2.8904552751454684,-0.05495624664387799,18.0,False
Lower East Side,Alphabet City,True,False,1.5844296078423956,1.4535971492812017,17.81800617511069,17.812940999973783,0.0,0.0,30.0,47.0,-0.005065175136905964,-0.13083245856119396,17.0,False
Williamsburg (North Side),Sunset Park West,False,False,1.38609943247344,1.1266798577862924,6.130888637625288,4.8061760719904365,0.0,0.0,4.0,21.0,-1.3247125656348517,-0.2594195746871475,17.0,False
