hour,is_weekend,order_count_pre,order_count_post,change_rate
0,False,2511,3223,0.283552369573875
0,True,2250,2737,0.21644444444444444
1,False,1685,1898,0.12640949554896141
1,True,1790,1879,0.049720670391061456
2,False,1298,1280,-0.01386748844375963
2,True,1488,1322,-0.11155913978494623
3,False,1057,1102,0.04257332071901608
3,True,1155,1060,-0.08225108225108226
4,False,1199,1598,0.3327773144286906
4,True,938,798,-0.14925373134328357
5,False,1563,2469,0.5796545105566219
5,True,800,697,-0.12875
6,False,2459,4231,0.7206181374542497
6,True,919,922,0.003264417845484222
7,False,3686,6416,0.7406402604449267
7,True,1148,1079,-0.06010452961672474
8,False,4363,7629,0.7485674994269997
8,True,1390,1306,-0.060431654676258995
9,False,3732,6288,0.684887459807074
9,True,1601,1506,-0.05933791380387258
10,False,3329,5206,0.5638329828777411
10,True,1821,1801,-0.010982976386600769
11,False,3300,4566,0.3836363636363636
11,True,1859,1554,-0.164066702528241
12,False,3375,4979,0.47525925925925927
12,True,1586,1833,0.1557377049180328
13,False,3525,5615,0.5929078014184397
13,True,1554,1996,0.28442728442728443
14,False,3647,6388,0.7515766383328764
14,True,1728,2227,0.28877314814814814
15,False,3996,6489,0.6238738738738738
15,True,1867,2204,0.18050348152115694
16,False,4071,6738,0.6551215917464996
16,True,1866,2421,0.297427652733119
17,False,4235,7669,0.81086186540732
17,True,2134,2672,0.2521087160262418
18,False,4120,8084,0.962135922330097
18,True,2224,2874,0.2922661870503597
19,False,4060,7803,0.9219211822660098
19,True,2566,2737,0.0666406858924396
20,False,3826,7186,0.8782017773131208
20,True,2511,2647,0.054161688570290724
21,False,3279,7188,1.192131747483989
21,True,2314,2651,0.1456352636127917
22,False,5967,6651,0.11463046757164404
22,True,4239,2962,-0.30125029488086813
23,False,5511,5796,0.051714752313554706
23,True,5265,2734,-0.48072174738841406
