pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,order_count,avg_trip_miles,avg_trip_time_min,avg_base_passenger_fare,avg_fare_per_mile,avg_driver_pay,avg_driver_pay_per_minute,avg_response_time_min
Allerton/Pelham Gardens,Allerton/Pelham Gardens,Bronx,Bronx,14,1.0644285714285713,7.307142857142857,10.552142857142856,11.785212564114278,7.2335714285714285,1.2527486573194746,3.0461538461538464
Allerton/Pelham Gardens,Bedford Park,Bronx,Bronx,4,2.73,18.09583333333333,14.64,5.605116752277836,15.8625,0.9446967593672045,5.470833333333333
Allerton/Pelham Gardens,Belmont,Bronx,Bronx,2,3.4665,12.141666666666666,16.855,4.885445490000258,11.995000000000001,0.997561466347399,3.425
Allerton/Pelham Gardens,Bronxdale,Bronx,Bronx,5,1.0764,5.84,8.836,10.709506212178626,6.314,1.5134903472543142,5.608333333333333
Allerton/Pelham Gardens,Bushwick North,Bronx,Brooklyn,1,15.27,44.583333333333336,43.16,2.826457105435494,54.26,1.2170467289719624,2.0
Allerton/Pelham Gardens,Central Harlem,Bronx,Manhattan,1,9.86,36.38333333333333,45.28,4.592292089249494,35.95,0.9880897846999542,3.0
Allerton/Pelham Gardens,Co-Op City,Bronx,Bronx,5,2.4669999999999996,10.796666666666667,11.528,4.853973869592819,9.918000000000001,0.9423895193807257,5.145833333333333
Allerton/Pelham Gardens,Crown Heights North,Bronx,Brooklyn,1,17.9,34.3,44.27,2.4731843575419,44.34,1.292711370262391,3.2666666666666666
Allerton/Pelham Gardens,East Concourse/Concourse Village,Bronx,Bronx,1,6.05,24.166666666666668,14.14,2.337190082644628,22.32,0.9235862068965517,2.4166666666666665
Allerton/Pelham Gardens,East Tremont,Bronx,Bronx,3,3.590666666666667,15.15,15.686666666666667,4.550537927008346,14.903333333333334,0.9929448569337177,4.933333333333334
Allerton/Pelham Gardens,Eastchester,Bronx,Bronx,2,1.0855,5.95,12.04,13.60063272242892,5.76,1.1205882352941177,4.375
Allerton/Pelham Gardens,Fordham South,Bronx,Bronx,1,2.65,13.983333333333333,14.85,5.60377358490566,12.75,0.9117997616209774,2.316666666666667
Allerton/Pelham Gardens,Hunts Point,Bronx,Bronx,1,4.35,25.483333333333334,22.11,5.082758620689655,23.54,0.9237410071942446,2.1666666666666665
Allerton/Pelham Gardens,Jamaica Estates,Bronx,Queens,1,12.66,24.3,43.86,3.4644549763033177,32.59,1.3411522633744857,5.65
Allerton/Pelham Gardens,LaGuardia Airport,Bronx,Queens,1,13.74,27.766666666666666,36.58,2.6622998544395924,34.88,1.2561824729891957,2.9833333333333334
Allerton/Pelham Gardens,Longwood,Bronx,Bronx,1,7.952,14.283333333333333,25.07,3.1526659959758554,19.21,1.3449241540256711,
Allerton/Pelham Gardens,Melrose South,Bronx,Bronx,1,7.442,25.133333333333333,27.63,3.7127116366568123,25.82,1.0273209549071618,2.1666666666666665
Allerton/Pelham Gardens,Midtown Center,Bronx,Manhattan,1,13.12,74.38333333333334,43.59,3.322408536585366,49.63,0.6672193591754425,18.066666666666666
Allerton/Pelham Gardens,Mott Haven/Port Morris,Bronx,Bronx,2,7.4735,20.833333333333336,25.15,3.363976621919372,22.845,1.0953385591945235,3.0
Allerton/Pelham Gardens,North Corona,Bronx,Queens,1,9.997,19.35,42.07,4.208262478743623,24.96,1.289922480620155,
Allerton/Pelham Gardens,Old Astoria,Bronx,Queens,1,12.12,24.75,29.06,2.397689768976898,30.91,1.248888888888889,1.9
Allerton/Pelham Gardens,Outside of NYC,Bronx,,7,5.195428571428571,17.604761904761908,20.722857142857144,4.023687547811359,20.384285714285713,1.1851810485323857,3.5888888888888886
Allerton/Pelham Gardens,Pelham Parkway,Bronx,Bronx,5,1.6920000000000002,9.129999999999999,9.788,5.927377003110406,8.23,0.9445713238827068,2.5433333333333334
Allerton/Pelham Gardens,Queensbridge/Ravenswood,Bronx,Queens,1,11.35,40.416666666666664,27.49,2.4220264317180615,43.74,1.0822268041237115,3.1
Allerton/Pelham Gardens,Red Hook,Bronx,Brooklyn,1,22.5,52.25,68.96,3.0648888888888886,61.06,1.1686124401913875,0.9833333333333333
Allerton/Pelham Gardens,Soundview/Castle Hill,Bronx,Bronx,2,4.622999999999999,14.625,21.060000000000002,4.562858783008037,15.094999999999999,1.0341127427434298,2.533333333333333
Allerton/Pelham Gardens,Spuyten Duyvil/Kingsbridge,Bronx,Bronx,1,3.55,22.933333333333334,21.66,6.101408450704226,18.8,0.8197674418604651,1.1
Allerton/Pelham Gardens,Van Cortlandt Park,Bronx,Bronx,2,2.472,11.141666666666666,12.655000000000001,5.105553681549189,10.065,0.9048709814065414,4.25
Allerton/Pelham Gardens,Van Nest/Morris Park,Bronx,Bronx,5,2.3396,12.066666666666666,14.73,6.2686798009423255,10.86,0.9062290109550638,5.2125
Allerton/Pelham Gardens,Washington Heights South,Bronx,Manhattan,2,7.005,25.375,23.805,3.3997093734703867,21.265,0.8745355128528214,3.1999999999999997
Allerton/Pelham Gardens,West Farms/Bronx River,Bronx,Bronx,2,3.705,15.933333333333334,15.440000000000001,4.115181992337165,14.51,0.9517135172048556,3.675
Allerton/Pelham Gardens,Westchester Village/Unionport,Bronx,Bronx,2,3.307,11.524999999999999,15.67,4.740002802349549,11.425,1.0439208804540925,
Allerton/Pelham Gardens,Williamsbridge/Olinville,Bronx,Bronx,8,1.6163750000000001,8.98125,10.725,8.387559788955336,8.248750000000001,1.1006464424093696,4.1125
Alphabet City,Alphabet City,Manhattan,Manhattan,1,0.69,4.233333333333333,9.2,13.333333333333334,4.29,1.0133858267716536,1.8166666666666667
Alphabet City,Battery Park City,Manhattan,Manhattan,1,4.84,10.666666666666666,21.41,4.4235537190082646,12.8,1.2000000000000002,3.3666666666666667
Alphabet City,Brighton Beach,Manhattan,Brooklyn,1,17.56,36.56666666666667,45.51,2.5916856492027334,45.2,1.236098450319052,3.3666666666666667
Alphabet City,Bushwick North,Manhattan,Brooklyn,1,5.7,37.46666666666667,38.54,6.761403508771929,31.6,0.8434163701067615,6.783333333333333
Alphabet City,Bushwick South,Manhattan,Brooklyn,2,4.425,22.008333333333333,26.57,6.072924798334634,18.225,0.8374962492960217,5.475
Alphabet City,Central Park,Manhattan,Manhattan,1,5.5,18.416666666666668,15.5,2.8181818181818183,10.53,0.5717647058823528,4.883333333333334
Alphabet City,Chinatown,Manhattan,Manhattan,3,2.5253333333333337,14.4,16.459999999999997,7.013095395060887,12.43,0.8853412083681143,3.9749999999999996
Alphabet City,Clinton West,Manhattan,Manhattan,1,4.63,20.483333333333334,28.28,6.107991360691145,19.74,0.9637103336045564,1.8166666666666667
Alphabet City,College Point,Manhattan,Queens,1,17.7,46.2,27.49,1.5531073446327683,42.0,0.9090909090909091,11.916666666666666
Alphabet City,Downtown Brooklyn/MetroTech,Manhattan,Brooklyn,1,3.81,21.033333333333335,24.46,6.41994750656168,17.44,0.8291600633914421,4.133333333333334
Alphabet City,East Chelsea,Manhattan,Manhattan,3,2.3466666666666667,21.23888888888889,22.156666666666666,9.694018899613509,17.36,0.8548446674950552,3.516666666666667
Alphabet City,East Flatbush/Farragut,Manhattan,Brooklyn,1,10.45,38.71666666666667,34.25,3.2775119617224884,38.03,0.9822643133878605,4.75
Alphabet City,East Harlem North,Manhattan,Manhattan,1,8.35,19.683333333333334,39.3,4.706586826347305,36.03,1.8304826418289586,3.45
Alphabet City,East Harlem South,Manhattan,Manhattan,3,6.528333333333333,31.816666666666666,28.793333333333333,4.467735779622175,27.77,0.8942671089141344,2.8000000000000003
Alphabet City,East New York,Manhattan,Brooklyn,1,12.17,47.71666666666667,50.56,4.154478225143796,49.95,1.0468040516940273,11.783333333333333
Alphabet City,East Village,Manhattan,Manhattan,5,0.7452,7.6433333333333335,12.094,16.05815227535715,9.239999999999998,1.2651725522287172,9.9
Alphabet City,Financial District North,Manhattan,Manhattan,3,2.7856666666666663,11.605555555555554,18.543333333333333,6.585902438934455,12.049999999999999,1.0321691632247367,2.6166666666666667
Alphabet City,Financial District South,Manhattan,Manhattan,3,3.231666666666667,7.866666666666667,16.386666666666667,5.17102875289983,11.326666666666666,1.4486803607124739,5.525
Alphabet City,Flatiron,Manhattan,Manhattan,3,2.3046666666666664,16.583333333333332,18.006666666666664,7.759414281243128,12.976666666666667,0.783980705823172,1.8083333333333333
Alphabet City,Fort Greene,Manhattan,Brooklyn,1,5.07,20.05,21.83,4.305719921104536,17.85,0.8902743142144639,3.95
Alphabet City,Garment District,Manhattan,Manhattan,2,2.915,16.15833333333333,16.465,5.730555555555555,15.25,0.9577986298570708,4.625
Alphabet City,Gramercy,Manhattan,Manhattan,5,1.4536,9.14,13.164000000000001,9.567543407925372,9.892,1.2390943484740355,4.470833333333333
Alphabet City,Greenpoint,Manhattan,Brooklyn,1,4.52,20.9,36.7,8.119469026548673,20.08,0.9607655502392344,5.0
Alphabet City,Greenwich Village North,Manhattan,Manhattan,8,1.352875,10.45625,12.69,10.040409097022735,7.975,0.7636202085269046,4.663888888888889
Alphabet City,Greenwich Village South,Manhattan,Manhattan,4,1.389,9.675,12.6875,9.128455997704602,7.7325,0.8064322202040677,3.2944444444444443
Alphabet City,Highbridge,Manhattan,Bronx,1,10.17,20.333333333333332,22.15,2.1779744346116026,25.68,1.2629508196721313,1.6166666666666667
Alphabet City,Hudson Sq,Manhattan,Manhattan,1,1.91,16.133333333333333,22.61,11.837696335078535,12.46,0.772314049586777,4.7
Alphabet City,JFK Airport,Manhattan,Queens,2,18.064500000000002,47.41666666666667,64.785,3.588736805999685,52.805,1.1147869693795847,1.1166666666666667
Alphabet City,Jackson Heights,Manhattan,Queens,1,7.289,17.35,42.66,5.852654685141995,20.88,1.203458213256484,4.666666666666667
Alphabet City,Kips Bay,Manhattan,Manhattan,3,1.383,7.800000000000001,11.233333333333334,8.018139530054304,7.830000000000001,1.0422786654689051,3.4722222222222228
Alphabet City,LaGuardia Airport,Manhattan,Queens,5,10.6642,26.276666666666664,45.756,4.290253552714219,29.913999999999998,1.1628745312467026,3.1416666666666666
Alphabet City,Lenox Hill West,Manhattan,Manhattan,2,3.27,12.658333333333335,25.025,7.667130997607991,18.665,1.5048635737059757,2.658333333333333
Alphabet City,Lincoln Square East,Manhattan,Manhattan,1,5.82,23.816666666666666,27.41,4.709621993127148,21.81,0.9157452764170748,6.016666666666667
Alphabet City,Lincoln Square West,Manhattan,Manhattan,1,5.18,37.81666666666667,38.59,7.449806949806951,29.09,0.7692375495813133,3.316666666666667
Alphabet City,Little Italy/NoLiTa,Manhattan,Manhattan,6,1.3276666666666668,12.133333333333333,14.563333333333334,10.918218869178178,9.461666666666666,0.7761621976873226,3.2833333333333328
Alphabet City,Long Island City/Hunters Point,Manhattan,Queens,1,5.96,15.716666666666667,19.94,3.345637583892618,17.27,1.0988335100742312,0.7666666666666667
Alphabet City,Long Island City/Queens Plaza,Manhattan,Queens,1,4.55,17.033333333333335,22.21,4.881318681318682,16.74,0.9827788649706456,3.6
Alphabet City,Lower East Side,Manhattan,Manhattan,7,1.222,10.085714285714285,11.625714285714285,9.664627429485531,7.935714285714285,0.807646611627308,3.4027777777777772
Alphabet City,Manhattanville,Manhattan,Manhattan,2,9.445,30.958333333333336,40.575,4.277555075371021,34.765,1.1332327070680224,2.8833333333333333
Alphabet City,Meatpacking/West Village West,Manhattan,Manhattan,4,2.2845,17.22083333333333,28.0125,12.373925285344885,15.0475,0.8714773277394569,2.5416666666666665
