zone_group,time_window,response_time_p50_pre,response_time_p50_post,response_time_p90_pre,response_time_p90_post,slow_response_rate_pre,slow_response_rate_post,orders_pre,orders_post,slow_response_rate_change,supply_reallocation_signal,business_interpretation
control_zones,凌晨,3.6083333333333334,3.433333333333333,8.240000000000004,7.62,0.06926406926406926,0.060714285714285714,462,560,-0.00854978354978355,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
control_zones,午间,2.7333333333333334,2.7083333333333335,6.433333333333334,6.1466666666666665,0.033444816053511704,0.023474178403755867,598,852,-0.009970637649755837,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
control_zones,夜间,3.6,3.5,9.033333333333333,8.655000000000001,0.08108108108108109,0.06307692307692307,592,650,-0.018004158004158013,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
control_zones,早高峰,2.625,2.7,5.971666666666668,6.05,0.012534818941504178,0.019311502938706968,718,1191,0.0067766839972027895,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
control_zones,晚高峰,3.1333333333333333,3.1166666666666667,7.616666666666666,7.45,0.05027932960893855,0.03985722784057109,1074,1681,-0.010422101768367463,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
other,凌晨,3.5833333333333335,3.55,8.833333333333334,8.816666666666666,0.06982803543512246,0.0731226918342224,9595,12185,0.0032946563990999406,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
other,午间,2.966666666666667,2.7333333333333334,7.15,6.483333333333333,0.039620442816713834,0.03016114982578397,12014,18368,-0.009459292990929864,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
other,夜间,3.6333333333333333,3.45,9.483333333333333,8.933333333333334,0.08762439056969211,0.07372344831666765,14973,16901,-0.013900942253024462,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
other,早高峰,3.0,3.15,7.4,7.45,0.04039983340274885,0.0412614205717654,14406,23751,0.0008615871690165477,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
other,晚高峰,3.25,3.0833333333333335,8.010000000000037,7.516666666666667,0.05440402653854953,0.04659097112287788,21855,36638,-0.00781305541567165,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
spillover_zones,凌晨,3.3833333333333333,3.1,7.630000000000002,7.596666666666668,0.04249667994687915,0.048304213771839674,753,973,0.005807533824960527,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
spillover_zones,午间,2.25,2.1333333333333333,6.311666666666677,4.833333333333333,0.02918781725888325,0.013385826771653543,788,1270,-0.015801990487229706,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
spillover_zones,夜间,2.816666666666667,2.933333333333333,7.216666666666667,6.983333333333333,0.04074402125775022,0.035498489425981876,1129,1324,-0.005245531831768346,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
spillover_zones,早高峰,2.433333333333333,2.716666666666667,6.118333333333333,6.5,0.02282608695652174,0.02810143934201508,920,1459,0.005275352385493339,True,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
spillover_zones,晚高峰,2.8333333333333335,2.566666666666667,7.05,6.023333333333342,0.033099936346276254,0.023861967694566815,1571,2724,-0.009237968651709439,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
treated_zones,凌晨,3.35,3.05,9.150000000000007,8.280000000000019,0.07592891760904685,0.05859375,1857,2304,-0.017335167609046853,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
treated_zones,午间,2.15,1.8166666666666667,6.433333333333334,4.933333333333334,0.033093525179856115,0.015340364333652923,2085,3129,-0.01775316084620319,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
treated_zones,夜间,2.816666666666667,3.658333333333333,8.284999999999998,9.088333333333336,0.06038961038961039,0.07852077001013172,3080,3948,0.01813115962052133,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
treated_zones,早高峰,2.0833333333333335,2.033333333333333,5.383333333333334,5.166666666666667,0.007683863885839737,0.011367435640254095,1822,2991,0.0036835717544143583,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
treated_zones,晚高峰,3.0166666666666666,2.5833333333333335,8.233333333333333,6.6616666666666635,0.06471456692913385,0.02883282506237871,4064,7214,-0.03588174186675515,False,外溢区订单承接且 P90 响应时长变慢，说明司机供给可能未同步迁移。
