pickup_zone_name,dropoff_zone_name,is_airport_trip,is_cross_treated_trip,orders_pre,orders_post,fare_per_mile_pre,fare_per_mile_post,driver_pay_per_minute_pre,driver_pay_per_minute_post,absolute_change,change_rate,avg_fare_per_mile_change,avg_driver_pay_per_minute_change,route_type,business_interpretation
JFK Airport,Outside of NYC,True,False,411.0,623.0,3.877263258628405,3.6141264213106776,1.4979693471601774,1.5747498637145556,212.0,0.5158150851581509,-0.2631368373177274,0.07678051655437823,airport_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
East New York,East New York,False,False,397.0,615.0,8.432876251152306,8.68879169644934,1.0519157030036277,0.9726846418390982,218.0,0.5491183879093199,0.2559154452970329,-0.07923106116452949,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
LaGuardia Airport,Outside of NYC,True,False,248.0,478.0,4.110349257727857,3.7151100097252847,1.5675520802298688,1.630319555252052,230.0,0.9274193548387096,-0.3952392480025724,0.06276747502218316,airport_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Borough Park,Borough Park,False,False,270.0,425.0,11.071856412265157,11.29192587187276,0.9577557743665454,0.8682884885218655,155.0,0.5740740740740741,0.22006945960760227,-0.08946728584467989,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Canarsie,Canarsie,False,False,248.0,385.0,9.233794982186897,9.876902358141608,1.1894338705195562,1.0767860930004691,137.0,0.5524193548387096,0.6431073759547115,-0.11264777751908706,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Crown Heights North,Crown Heights North,False,False,213.0,289.0,10.548266167731798,10.792176982850439,1.1279654959009886,1.0006954297205812,76.0,0.3568075117370892,0.24391081511864066,-0.12727006618040737,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Bay Ridge,Bay Ridge,False,False,188.0,278.0,10.439350689917655,10.277740723500422,1.2270938256919603,1.006116522232195,90.0,0.4787234042553192,-0.1616099664172328,-0.2209773034597653,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Forest Hills,Forest Hills,False,False,158.0,244.0,9.97494827515971,10.53862264533322,1.087223829603511,0.9206270473289908,86.0,0.5443037974683544,0.5636743701735103,-0.16659678227452024,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Jackson Heights,Jackson Heights,False,False,188.0,241.0,10.422098486231537,10.612647458037678,0.9688465496698015,0.9349760523930316,53.0,0.28191489361702127,0.19054897180614105,-0.03387049727676994,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
Astoria,Astoria,False,False,142.0,239.0,12.060369328954632,11.599073312400519,1.2483722497987113,1.0192209171978852,97.0,0.6830985915492958,-0.46129601655411356,-0.2291513326008261,driver_pressure_od,OD 路线用于判断需求变化是乘客侧价格问题还是司机收益压力问题。
