pickup_zone,dropoff_zone,pickup_borough,dropoff_borough,order_count,avg_trip_miles,avg_trip_time_min,avg_base_passenger_fare,avg_fare_per_mile,avg_driver_pay,avg_driver_pay_per_minute,avg_response_time_min
JFK Airport,Outside of NYC,Queens,,154,29.3566038961039,55.5534632034632,106.3012987012987,3.748981976647629,83.83344155844156,1.5354577841115444,6.516203703703703
East New York,East New York,Brooklyn,Brooklyn,153,1.3950718954248367,7.762200435729849,10.106209150326798,8.535163627443303,7.315228758169935,1.0231686971812222,3.744010416666667
Borough Park,Borough Park,Brooklyn,Brooklyn,119,1.0482773109243697,9.064985994397759,10.351680672268907,11.017803755515068,7.356890756302521,0.8680398924160054,4.188172043010753
Canarsie,Canarsie,Brooklyn,Brooklyn,114,1.6027105263157895,7.805847953216374,11.588070175438595,9.141729024653387,7.8732456140350875,1.11483121571913,4.073404255319149
LaGuardia Airport,Outside of NYC,Queens,,114,28.920622807017544,48.997514619883034,103.93912280701754,3.7636853886333865,80.5109649122807,1.6452547805810938,6.141967871485944
Crown Heights North,Crown Heights North,Brooklyn,Brooklyn,93,1.1973225806451613,8.20752688172043,10.731612903225805,9.905349507016801,7.820967741935484,0.9981346632740715,4.706666666666666
Bay Ridge,Bay Ridge,Brooklyn,Brooklyn,91,1.1117032967032967,6.253479853479854,9.37120879120879,10.168016953550328,6.43065934065934,1.1260904409687524,3.0158227848101267
Forest Hills,Forest Hills,Queens,Queens,78,1.1462435897435896,7.492948717948718,10.037307692307692,9.97186221815448,6.528076923076923,0.9399039695349708,3.126229508196721
Jackson Heights,Jackson Heights,Queens,Queens,71,1.1067887323943661,8.714084507042255,10.53338028169014,10.463827984092804,7.361408450704225,0.9082572633298076,3.6494444444444443
Bushwick North,Bushwick South,Brooklyn,Brooklyn,70,1.1640857142857144,7.628095238095239,10.36042857142857,9.299620774839811,7.250571428571429,0.9705981418176635,3.8715151515151516
Astoria,Astoria,Queens,Queens,66,0.9654242424242425,6.828030303030303,9.717575757575759,11.269177595594266,6.080454545454545,1.0092016269190633,3.1237179487179487
Jamaica,Jamaica,Queens,Queens,63,1.222031746031746,8.92089947089947,11.417460317460316,10.839260182419434,7.833015873015873,0.9795723057680432,3.991111111111111
Greenpoint,Williamsburg (North Side),Brooklyn,Brooklyn,62,1.2171612903225806,8.863440860215054,11.536451612903226,9.903286860945432,7.745161290322581,0.9113632858803226,2.5186507936507936
Williamsburg (North Side),Greenpoint,Brooklyn,Brooklyn,59,1.3075593220338984,8.572033898305085,12.46050847457627,10.406835115942583,8.808813559322035,1.0954302407584544,2.8559748427672957
Bushwick South,Bushwick South,Brooklyn,Brooklyn,58,1.186293103448276,7.820689655172414,10.77206896551724,10.823913206545026,7.552586206896552,1.1283890836244805,3.120921985815603
Central Harlem North,Central Harlem North,Manhattan,Manhattan,58,1.0018448275862069,7.058045977011495,10.328275862068965,11.895499671977039,7.558965517241379,1.2486511706811945,3.925
Bushwick South,Bushwick North,Brooklyn,Brooklyn,57,1.2560526315789473,8.101461988304093,10.72701754385965,9.492533746951837,7.718070175438597,1.0294578637793141,3.035042735042735
Park Slope,Park Slope,Brooklyn,Brooklyn,57,1.027140350877193,6.902631578947368,9.819122807017544,10.737261115715011,6.424561403508772,1.0621799864703063,3.2318181818181815
South Ozone Park,South Ozone Park,Queens,Queens,57,1.3504035087719297,7.691228070175439,11.158596491228069,9.933117468428291,7.451754385964913,1.079401141942657,4.893464052287581
South Ozone Park,JFK Airport,Queens,Queens,56,2.6284285714285716,8.551488095238096,13.394464285714287,6.151443732018651,9.677678571428572,1.2537649610138835,2.331132075471698
Midtown Center,Outside of NYC,Manhattan,,55,19.355854545454548,43.803333333333335,96.12527272727273,6.063611678397454,62.83436363636363,1.3892870280709098,4.316279069767441
Woodlawn/Wakefield,Outside of NYC,Bronx,,55,4.711690909090908,13.426666666666668,18.092909090909092,5.653266535756862,16.633090909090907,1.1354412979391855,5.361666666666666
Long Island City/Hunters Point,Long Island City/Hunters Point,Queens,Queens,54,0.9253518518518519,6.192901234567902,9.568333333333332,11.28408979453515,6.147962962962963,1.0917937646924925,2.7881944444444446
Brownsville,Brownsville,Brooklyn,Brooklyn,52,1.6235,9.25576923076923,12.230192307692308,10.936107614493737,9.401923076923076,1.0799808076074817,4.308148148148148
Steinway,Steinway,Queens,Queens,51,1.0604901960784314,6.169934640522876,9.14313725490196,9.618855720908718,6.090196078431373,1.0755205784067503,2.4341880341880344
Flatbush/Ditmas Park,Flatbush/Ditmas Park,Brooklyn,Brooklyn,50,1.17944,8.401,10.9246,11.708175866273645,8.273200000000001,1.1206930947297753,4.226666666666667
Greenpoint,Greenpoint,Brooklyn,Brooklyn,50,1.07942,7.179333333333333,10.621400000000001,11.318388013439982,7.364199999999999,1.1561916039683897,3.4728070175438597
LaGuardia Airport,Times Sq/Theatre District,Queens,Manhattan,49,9.582020408163265,39.22789115646259,66.27428571428571,6.969108204008057,40.811020408163266,1.0899314799291193,5.312393162393162
East Harlem North,East Harlem South,Manhattan,Manhattan,48,1.234375,8.657291666666667,10.794583333333334,8.982894546219985,8.354375,0.9708830384560746,3.653508771929825
Astoria,Steinway,Queens,Queens,47,1.5779787234042555,10.10709219858156,12.191063829787234,7.939416257887675,8.554893617021277,0.8537156406283042,2.5114285714285716
