pickup_zone,pickup_borough,pickup_order_count,avg_fare_per_mile,avg_driver_pay_per_minute,avg_response_time_min,dropoff_zone,dropoff_borough,dropoff_order_count
Allerton/Pelham Gardens,Bronx,88.0,6.592048046099598,1.0963570296353016,3.9015555555555554,Allerton/Pelham Gardens,Bronx,110
Alphabet City,Manhattan,152.0,7.917924330612414,1.033111018922666,3.803994490358127,Alphabet City,Manhattan,127
Arden Heights,Staten Island,13.0,5.889404359214737,1.1494325458330805,6.980555555555555,Arden Heights,Staten Island,16
Arrochar/Fort Wadsworth,Staten Island,34.0,5.207270436649707,1.0389722004899007,4.466091954022988,Arrochar/Fort Wadsworth,Staten Island,37
Astoria,Queens,484.0,6.610935101970005,0.9928726914069963,3.0259548611111113,Astoria,Queens,470
,,,,,,Astoria Park,Queens,1
Auburndale,Queens,36.0,5.227654578722781,1.007496083237113,3.3695402298850574,Auburndale,Queens,41
Baisley Park,Queens,150.0,5.6172345098072745,1.0224219905094933,3.912809917355372,Baisley Park,Queens,129
Bath Beach,Brooklyn,49.0,6.216689250234648,0.9905674740229939,4.41,Bath Beach,Brooklyn,47
Battery Park,Manhattan,4.0,9.70399906961682,0.9217023740833664,2.3055555555555554,Battery Park,Manhattan,10
Battery Park City,Manhattan,171.0,8.064934164484372,1.1071453061772147,3.7855643044619423,Battery Park City,Manhattan,190
Bay Ridge,Brooklyn,296.0,6.605383471862169,1.060581741787778,3.555844155844156,Bay Ridge,Brooklyn,301
Bay Terrace/Fort Totten,Queens,46.0,5.153637836200702,1.093971078529609,5.086842105263157,Bay Terrace/Fort Totten,Queens,35
Bayside,Queens,117.0,6.032263060359501,1.0933125737778502,3.474679487179487,Bayside,Queens,102
Bedford,Brooklyn,420.0,7.834274271522389,0.966989010380564,4.267363344051447,Bedford,Brooklyn,432
Bedford Park,Bronx,257.0,6.696637019906225,0.9609978928785452,3.6307632398753893,Bedford Park,Bronx,230
Bellerose,Queens,36.0,5.79890092760055,1.2250207040939627,4.26875,Bellerose,Queens,50
Belmont,Bronx,173.0,6.762354661423127,1.0303720561588876,4.226428571428571,Belmont,Bronx,156
Bensonhurst East,Brooklyn,132.0,7.003772894699127,0.9748405060795375,3.399122807017544,Bensonhurst East,Brooklyn,134
Bensonhurst West,Brooklyn,168.0,6.960671118007525,0.9616128351732621,3.6107407407407406,Bensonhurst West,Brooklyn,165
Bloomfield/Emerson Hill,Staten Island,74.0,4.3799862276623545,1.1882119929632562,5.7908045977011495,Bloomfield/Emerson Hill,Staten Island,91
Bloomingdale,Manhattan,62.0,7.530644346463322,1.062412497787826,3.249645390070922,Bloomingdale,Manhattan,62
Boerum Hill,Brooklyn,274.0,7.5356617493578195,0.9720044390960763,4.02109500805153,Boerum Hill,Brooklyn,235
Borough Park,Brooklyn,287.0,8.546145613484505,0.897551335793826,4.264831130690162,Borough Park,Brooklyn,306
Breezy Point/Fort Tilden/Riis Beach,Queens,2.0,3.902567888434782,1.4903409639717955,7.783333333333333,Breezy Point/Fort Tilden/Riis Beach,Queens,7
Briarwood/Jamaica Hills,Queens,143.0,7.056933895937477,0.9664982333802686,3.715840220385675,Briarwood/Jamaica Hills,Queens,99
Brighton Beach,Brooklyn,100.0,7.1299426018480485,1.0181637554257323,3.8380658436213992,Brighton Beach,Brooklyn,103
Broad Channel,Queens,3.0,4.463222508554428,1.141599098324829,8.688888888888888,Broad Channel,Queens,2
Bronx Park,Bronx,18.0,5.603323820587814,1.038187635045541,2.6512820512820516,Bronx Park,Bronx,21
Bronxdale,Bronx,136.0,5.838175043565313,1.0340845882512577,3.569327731092437,Bronxdale,Bronx,134
Brooklyn Heights,Brooklyn,222.0,8.162774298030381,1.06852095222274,3.7524084778420037,Brooklyn Heights,Brooklyn,207
Brooklyn Navy Yard,Brooklyn,41.0,7.384136805764244,1.0695189819712856,4.767816091954024,Brooklyn Navy Yard,Brooklyn,56
Brownsville,Brooklyn,336.0,7.284581151997525,0.9475970521430541,4.525575757575758,Brownsville,Brooklyn,288
Bushwick North,Brooklyn,426.0,7.4945177639250025,0.9883417274396848,3.8099494949494948,Bushwick North,Brooklyn,410
Bushwick South,Brooklyn,530.0,7.431062125971528,0.9787555550225238,3.825040650406504,Bushwick South,Brooklyn,595
Cambria Heights,Queens,50.0,5.614127499782068,1.0818093083868243,4.0616666666666665,Cambria Heights,Queens,47
Canarsie,Brooklyn,358.0,6.838621075418303,1.0340825658081014,4.164750290360046,Canarsie,Brooklyn,340
Carroll Gardens,Brooklyn,138.0,7.061998875194593,1.0032320375171186,3.441826923076923,Carroll Gardens,Brooklyn,118
Central Harlem,Manhattan,342.0,7.385747229902598,1.048323230213096,4.046173800259403,Central Harlem,Manhattan,274
Central Harlem North,Manhattan,449.0,7.086594385063706,1.0588531698260988,4.3268649669499535,Central Harlem North,Manhattan,410
Central Park,Manhattan,56.0,9.952491282125068,1.0656987618608285,3.445555555555556,Central Park,Manhattan,100
Charleston/Tottenville,Staten Island,31.0,4.223887385483548,1.4134421096720078,5.722413793103448,Charleston/Tottenville,Staten Island,15
Chinatown,Manhattan,124.0,8.022802907335764,1.001996216264657,3.8124542124542127,Chinatown,Manhattan,102
City Island,Bronx,6.0,3.7087203088807925,1.3085534851662657,11.095833333333333,City Island,Bronx,7
Claremont/Bathgate,Bronx,167.0,7.273335463069448,0.9572491721532308,4.467494089834515,Claremont/Bathgate,Bronx,150
Clinton East,Manhattan,530.0,9.278316133229445,1.0498381468996725,3.75,Clinton East,Manhattan,385
Clinton Hill,Brooklyn,338.0,8.009913969818609,0.9609948714590715,3.602755905511811,Clinton Hill,Brooklyn,278
Clinton West,Manhattan,279.0,8.795560623251129,1.0168255689016013,3.3461477987421384,Clinton West,Manhattan,251
Co-Op City,Bronx,190.0,5.634697008669698,1.0831196737003361,4.874567099567099,Co-Op City,Bronx,201
Cobble Hill,Brooklyn,70.0,8.084644808648022,1.0927681489138195,2.880606060606061,Cobble Hill,Brooklyn,81
College Point,Queens,68.0,5.5008508155022104,1.072781062106299,4.729166666666666,College Point,Queens,79
Columbia Street,Brooklyn,23.0,6.751741248551878,1.1598257510565209,3.0176470588235293,Columbia Street,Brooklyn,28
Coney Island,Brooklyn,130.0,6.455309473458384,1.1303106214820706,4.175728155339806,Coney Island,Brooklyn,151
Corona,Queens,154.0,6.276431991870166,0.9909026593224349,4.302435897435898,Corona,Queens,145
Country Club,Bronx,17.0,5.961266163631488,1.1540017681248531,4.745555555555556,Country Club,Bronx,15
Crotona Park,Bronx,2.0,2.675026452310826,0.9779452801596689,9.35,Crotona Park,Bronx,2
Crotona Park East,Bronx,122.0,6.708878559877742,0.9732539375302774,4.140880503144654,Crotona Park East,Bronx,129
Crown Heights North,Brooklyn,673.0,7.314352048368934,0.9522177889996556,4.360723270440252,Crown Heights North,Brooklyn,713
Crown Heights South,Brooklyn,206.0,8.199987758525614,0.9851475134953612,4.090461215932914,Crown Heights South,Brooklyn,204
Cypress Hills,Brooklyn,194.0,6.3170400917297345,0.9688271649994482,3.942688172043011,Cypress Hills,Brooklyn,153
DUMBO/Vinegar Hill,Brooklyn,193.0,7.281140635777345,1.0057147272372862,3.646750524109015,DUMBO/Vinegar Hill,Brooklyn,151
Douglaston,Queens,30.0,4.9740917349953095,1.092938556018589,5.116071428571429,Douglaston,Queens,32
Downtown Brooklyn/MetroTech,Brooklyn,231.0,7.14050713647014,0.9750987844503063,4.430571428571429,Downtown Brooklyn/MetroTech,Brooklyn,183
Dyker Heights,Brooklyn,93.0,6.8306503505366045,0.9170728475408614,3.5487012987012987,Dyker Heights,Brooklyn,90
East Chelsea,Manhattan,532.0,9.744571482847588,1.0616810043060396,3.430521091811414,East Chelsea,Manhattan,550
East Concourse/Concourse Village,Bronx,237.0,7.5431613300299905,0.9684514010742776,4.140934065934066,East Concourse/Concourse Village,Bronx,268
